Source,Type,Target,Weight
Антуан,Undirected,Голубков,7
Антуан,Undirected,Корзухин,6
Антуан,Undirected,Люська,2
Антуан,Undirected,Чарнота,5
Артур,Undirected,Чарнота,9
Артур,Undirected,англичане-матросы,5
Артур,Undirected,боцман-англичанин,1
Артур,Undirected,двое полицейских,4
Артур,Undirected,двое французских моряков,7
Артур,Undirected,жулики,5
Артур,Undirected,итальянец-матрос,1
Артур,Undirected,итальянские полицейские,1
Артур,Undirected,итальянцы,1
Артур,Undirected,итальянцы-матросы,4
Артур,Undirected,лакей,7
Артур,Undirected,личико,8
Артур,Undirected,мальчишка-грек,2
Артур,Undirected,мальчишки,2
Артур,Undirected,негр,5
Артур,Undirected,проститутка-красавица,5
Артур,Undirected,толпа игроков,2
Артур,Undirected,трое в шапках,6
Артур,Undirected,турецкие полицейские,1
Артур,Undirected,фигура,3
Африкан,Undirected,Голован,3
Африкан,Undirected,Голубков,4
Африкан,Undirected,Корзухин,1
Африкан,Undirected,Крапилин,4
Африкан,Undirected,Люська,2
Африкан,Undirected,Паисий,3
Африкан,Undirected,Серафима,4
Африкан,Undirected,Тихий,1
Африкан,Undirected,Хлудов,7
Африкан,Undirected,Чарнота,2
Африкан,Undirected,второй штабной,4
Африкан,Undirected,главнокомандующий,5
Африкан,Undirected,двое конвойных казаков,3
Африкан,Undirected,де Бризар,6
Африкан,Undirected,игумен,2
Африкан,Undirected,комендант,1
Африкан,Undirected,монахи,2
Африкан,Undirected,начальник станции,5
Африкан,Undirected,первый штабной,4
Африкан,Undirected,третий штабной,4
Баев,Undirected,Барабанчикова,3
Баев,Undirected,Голубков,3
Баев,Undirected,Махров,3
Баев,Undirected,Паисий,3
Баев,Undirected,Серафима,3
Баев,Undirected,буденовец,2
Барабанчикова,Undirected,Голубков,8
Барабанчикова,Undirected,Махров,8
Барабанчикова,Undirected,Паисий,5
Барабанчикова,Undirected,Серафима,8
Барабанчикова,Undirected,буденовец,2
Голован,Undirected,Голубков,1
Голован,Undirected,Корзухин,2
Голован,Undirected,Люська,1
Голован,Undirected,Николаевна,3
Голован,Undirected,Олька,2
Голован,Undirected,Тихий,4
Голован,Undirected,Хлудов,19
Голован,Undirected,Чарнота,1
Голован,Undirected,второй штабной,18
Голован,Undirected,главнокомандующий,2
Голован,Undirected,двое конвойных казаков,2
Голован,Undirected,де Бризар,3
Голован,Undirected,комендант,4
Голован,Undirected,начальник станции,12
Голован,Undirected,первый штабной,18
Голован,Undirected,третий штабной,18
Голубков,Undirected,Гурин,4
Голубков,Undirected,Корзухин,11
Голубков,Undirected,Крапилин,12
Голубков,Undirected,Люська,13
Голубков,Undirected,Махров,10
Голубков,Undirected,Паисий,8
Голубков,Undirected,Серафима,28
Голубков,Undirected,Тихий,6
Голубков,Undirected,Хлудов,10
Голубков,Undirected,Чарнота,25
Голубков,Undirected,буденовец,2
Голубков,Undirected,второй штабной,4
Голубков,Undirected,грек-донжуан,3
Голубков,Undirected,греческие и армянские головы,1
Голубков,Undirected,де Бризар,7
Голубков,Undirected,игумен,2
Голубков,Undirected,мальчишка-турок,2
Голубков,Undirected,монахи,2
Голубков,Undirected,начальник станции,4
Голубков,Undirected,первый штабной,4
Голубков,Undirected,третий штабной,4
Гурин,Undirected,Корзухин,1
Гурин,Undirected,Крапилин,2
Гурин,Undirected,Серафима,5
Гурин,Undirected,Скунский,1
Гурин,Undirected,Тихий,8
Гурин,Undirected,Хлудов,2
Гурин,Undirected,Чарнота,1
Гурин,Undirected,второй штабной,2
Гурин,Undirected,начальник станции,2
Гурин,Undirected,первый штабной,2
Гурин,Undirected,третий штабной,2
Корзухин,Undirected,Крапилин,4
Корзухин,Undirected,Люська,2
Корзухин,Undirected,Серафима,1
Корзухин,Undirected,Тихий,6
Корзухин,Undirected,Хлудов,7
Корзухин,Undirected,Чарнота,8
Корзухин,Undirected,второй штабной,7
Корзухин,Undirected,главнокомандующий,1
Корзухин,Undirected,два контрразведчика,2
Корзухин,Undirected,комендант,2
Корзухин,Undirected,начальник станции,5
Корзухин,Undirected,первый штабной,7
Корзухин,Undirected,третий контрразведчик,1
Корзухин,Undirected,третий штабной,7
Крапилин,Undirected,Люська,5
Крапилин,Undirected,Махров,2
Крапилин,Undirected,Паисий,3
Крапилин,Undirected,Серафима,12
Крапилин,Undirected,Тихий,6
Крапилин,Undirected,Хлудов,7
Крапилин,Undirected,Чарнота,5
Крапилин,Undirected,второй штабной,7
Крапилин,Undirected,два контрразведчика,2
Крапилин,Undirected,де Бризар,7
Крапилин,Undirected,игумен,2
Крапилин,Undirected,монахи,2
Крапилин,Undirected,начальник станции,7
Крапилин,Undirected,первый штабной,7
Крапилин,Undirected,третий контрразведчик,1
Крапилин,Undirected,третий штабной,7
Люська,Undirected,Махров,1
Люська,Undirected,Паисий,1
Люська,Undirected,Серафима,9
Люська,Undirected,Хлудов,1
Люська,Undirected,Чарнота,17
Люська,Undirected,второй штабной,1
Люська,Undirected,грек-донжуан,2
Люська,Undirected,греческие и армянские головы,1
Люська,Undirected,де Бризар,4
Люська,Undirected,игумен,1
Люська,Undirected,монахи,1
Люська,Undirected,начальник станции,1
Люська,Undirected,первый штабной,1
Люська,Undirected,третий штабной,1
Махров,Undirected,Паисий,5
Махров,Undirected,Серафима,10
Махров,Undirected,Чарнота,1
Махров,Undirected,буденовец,2
Махров,Undirected,де Бризар,2
Николаевна,Undirected,Олька,2
Николаевна,Undirected,Тихий,1
Николаевна,Undirected,Хлудов,3
Николаевна,Undirected,второй штабной,3
Николаевна,Undirected,комендант,1
Николаевна,Undirected,начальник станции,3
